MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690248060,           2023-07-25 01:21:00,           2023-07-25 04:21:00,      3.510000,     19.280000,          6.815366,                    93.973986,      0.961000"
"                1690248660,           2023-07-25 01:31:00,           2023-07-25 04:31:00,      3.510000,     19.305000,          6.812532,                    93.977823,      0.960000"
"                1690249260,           2023-07-25 01:41:00,           2023-07-25 04:41:00,      3.510000,     19.297000,          6.810860,                    93.941027,      0.960000"
"                1690249860,           2023-07-25 01:51:00,           2023-07-25 04:51:00,      3.510000,     19.297000,          6.815578,                    94.006098,      0.961000"
"                1690250460,           2023-07-25 02:01:00,           2023-07-25 05:01:00,      3.510000,     19.305000,          6.808601,                    93.923588,      0.960000"
"                1690251060,           2023-07-25 02:11:00,           2023-07-25 05:11:00,      3.510000,     19.297000,          6.821868,                    94.092860,      0.961000"
"                1690251660,           2023-07-25 02:21:00,           2023-07-25 05:21:00,      3.510000,     19.280000,          6.815366,                    93.973986,      0.960000"
"                1690252260,           2023-07-25 02:31:00,           2023-07-25 05:31:00,      3.510000,     19.280000,          6.818511,                    94.017352,      0.961000"
"                1690252860,           2023-07-25 02:41:00,           2023-07-25 05:41:00,      3.510000,     19.272000,          6.819197,                    94.013074,      0.960000"
"                1690253460,           2023-07-25 02:51:00,           2023-07-25 05:51:00,      3.510000,     19.280000,          6.815366,                    93.973986,      0.960000"
"                1690254060,           2023-07-25 03:01:00,           2023-07-25 06:01:00,      3.510000,     19.272000,          6.817625,                    93.991394,      0.960000"
"                1690254660,           2023-07-25 03:11:00,           2023-07-25 06:11:00,      3.510000,     19.264000,          6.821456,                    94.030469,      0.960000"
"                1690255260,           2023-07-25 03:21:00,           2023-07-25 06:21:00,      3.510000,     19.255000,          6.823703,                    94.045962,      0.960000"
"                1690255860,           2023-07-25 03:31:00,           2023-07-25 06:31:00,      3.510000,     19.280000,          6.823229,                    94.082401,      0.961000"
"                1690256460,           2023-07-25 03:41:00,           2023-07-25 06:41:00,      3.510000,     19.264000,          6.824601,                    94.073821,      0.961000"
"                1690257060,           2023-07-25 03:51:00,           2023-07-25 06:51:00,      3.510000,     19.280000,          6.820083,                    94.039035,      0.960000"
"                1690257660,           2023-07-25 04:01:00,           2023-07-25 07:01:00,      3.510000,     19.272000,          6.822342,                    94.056433,      0.960000"
"                1690258260,           2023-07-25 04:11:00,           2023-07-25 07:11:00,      3.510000,     19.264000,          6.832464,                    94.182201,      0.961000"
"                1690258860,           2023-07-25 04:21:00,           2023-07-25 07:21:00,      3.510000,     19.280000,          6.823229,                    94.082401,      0.960000"
"                1690259460,           2023-07-25 04:31:00,           2023-07-25 07:31:00,      3.510000,     19.272000,          6.823915,                    94.078112,      0.961000"
"                1690260060,           2023-07-25 04:41:00,           2023-07-25 07:41:00,      3.510000,     19.264000,          6.823029,                    94.052145,      0.960000"
"                1690260660,           2023-07-25 04:51:00,           2023-07-25 07:51:00,      3.510000,     19.272000,          6.828632,                    94.143151,      0.961000"
"                1690261260,           2023-07-25 05:01:00,           2023-07-25 08:01:00,      3.510000,     19.272000,          6.830205,                    94.164830,      0.961000"
"                1690261860,           2023-07-25 05:11:00,           2023-07-25 08:11:00,      3.510000,     19.264000,          6.826960,                    94.106335,      0.961000"
"                1690262460,           2023-07-25 05:21:00,           2023-07-25 08:21:00,      3.510000,     19.272000,          6.826274,                    94.110631,      0.960000"
"                1690263060,           2023-07-25 05:31:00,           2023-07-25 08:31:00,      3.510000,     19.264000,          6.828532,                    94.128011,      0.960000"
"                1690263660,           2023-07-25 05:41:00,           2023-07-25 08:41:00,      3.510000,     19.272000,          6.827846,                    94.132311,      0.960000"
"                1690264260,           2023-07-25 05:51:00,           2023-07-25 08:51:00,      3.500000,     19.767000,          6.771047,                    94.194112,      0.961000"
"                1690264860,           2023-07-25 06:01:00,           2023-07-25 09:01:00,      3.500000,     20.763000,          6.644407,                    94.103691,      0.959000"
"                1690265460,           2023-07-25 06:11:00,           2023-07-25 09:11:00,      3.500000,     21.817000,          6.528781,                    94.208524,      0.959000"
"                1690266060,           2023-07-25 06:21:00,           2023-07-25 09:21:00,      3.500000,     23.156000,          6.381524,                    94.254185,      0.959000"
"                1690266660,           2023-07-25 06:31:00,           2023-07-25 09:31:00,      3.500000,     24.170000,          6.293266,                    94.576955,      0.959000"
"                1690267260,           2023-07-25 06:41:00,           2023-07-25 09:41:00,      3.500000,     25.348000,          6.181505,                    94.759259,      0.959000"
"                1690267860,           2023-07-25 06:51:00,           2023-07-25 09:51:00,      3.500000,     26.826000,          6.037653,                    94.845609,      0.959000"
"                1690268460,           2023-07-25 07:01:00,           2023-07-25 10:01:00,      3.490000,     28.495000,          5.888020,                    95.032972,      0.958000"
"                1690269060,           2023-07-25 07:11:00,           2023-07-25 10:11:00,      3.490000,     29.654000,          5.773547,                    94.923490,      0.957000"
"                1690269660,           2023-07-25 07:21:00,           2023-07-25 10:21:00,      3.490000,     30.397000,          5.700630,                    94.829576,      0.956000"
"                1690270260,           2023-07-25 07:31:00,           2023-07-25 10:31:00,      3.490000,     31.092000,          5.628669,                    94.656568,      0.955000"
"                1690270860,           2023-07-25 07:41:00,           2023-07-25 10:41:00,      3.490000,     31.903000,          5.528513,                    94.150570,      0.953000"
"                1690271460,           2023-07-25 07:51:00,           2023-07-25 10:51:00,      3.490000,     34.171000,          5.295701,                    93.370705,      0.949000"
"                1690272060,           2023-07-25 08:01:00,           2023-07-25 11:01:00,      3.490000,     34.323000,          6.003793,                   106.099240,      0.949000"
"                1690272660,           2023-07-25 08:11:00,           2023-07-25 11:11:00,      3.500000,     34.269000,          6.150696,                   108.606535,      0.950000"
"                1690273260,           2023-07-25 08:21:00,           2023-07-25 11:21:00,      3.500000,     34.367000,          6.265063,                   110.790137,      0.950000"
"                1690273860,           2023-07-25 08:31:00,           2023-07-25 11:31:00,      3.500000,     34.492000,          6.288681,                   111.418134,      0.950000"
"                1690274460,           2023-07-25 08:41:00,           2023-07-25 11:41:00,      3.500000,     34.546000,          6.399493,                   113.473937,      0.949000"
"                1690275060,           2023-07-25 08:51:00,           2023-07-25 11:51:00,      3.500000,     34.635000,          6.388988,                   113.439991,      0.949000"
"                1690275660,           2023-07-25 09:01:00,           2023-07-25 12:01:00,      3.500000,     34.742000,          6.435034,                   114.442122,      0.950000"
