data2,data1,loggerUid,logDateTime,dateTime,PAR,control
32.81,0,CDFB19377155,1690503600,28-07-2023 03:20:00,4.975,
32.81,0,CDFB19377155,1690504200,28-07-2023 03:30:00,4.975,
32.81,0,CDFB19377155,1690504800,28-07-2023 03:40:00,4.975,
32.75,0,CDFB19377155,1690505400,28-07-2023 03:50:00,4.975,
32.81,0,CDFB19377155,1690506000,28-07-2023 04:00:00,4.975,
32.81,0,CDFB19377155,1690506600,28-07-2023 04:10:00,4.975,
32.81,0,CDFB19377155,1690507200,28-07-2023 04:20:00,4.975,
32.81,0,CDFB19377155,1690507800,28-07-2023 04:30:00,4.975,
32.75,0,CDFB19377155,1690508400,28-07-2023 04:40:00,4.975,
32.69,0,CDFB19377155,1690509000,28-07-2023 04:50:00,4.975,
32.56,0,CDFB19377155,1690509600,28-07-2023 05:00:00,4.975,
32.31,0,CDFB19377155,1690510200,28-07-2023 05:10:00,4.975,
32.19,0,CDFB19377155,1690510800,28-07-2023 05:20:00,4.975,
32,0,CDFB19377155,1690511400,28-07-2023 05:30:00,4.975,
31.81,4,CDFB19377155,1690512000,28-07-2023 05:40:00,5.0494,
31.69,42,CDFB19377155,1690512600,28-07-2023 05:50:00,5.7562,
31.69,181,CDFB19377155,1690513200,28-07-2023 06:00:00,8.3416,
31.56,554,CDFB19377155,1690513800,28-07-2023 06:10:00,15.2794,
31.5,1094,CDFB19377155,1690514400,28-07-2023 06:20:00,25.3234,
31.38,1733,CDFB19377155,1690515000,28-07-2023 06:30:00,37.2088,
31.38,2602,CDFB19377155,1690515600,28-07-2023 06:40:00,53.3722,
31.31,3658,CDFB19377155,1690516200,28-07-2023 06:50:00,73.0138,
31.25,4870,CDFB19377155,1690516800,28-07-2023 07:00:00,95.557,
31.19,6174,CDFB19377155,1690517400,28-07-2023 07:10:00,119.8114,
31.13,7621,CDFB19377155,1690518000,28-07-2023 07:20:00,146.7256,
31.19,9121,CDFB19377155,1690518600,28-07-2023 07:30:00,174.6256,
31.25,10760,CDFB19377155,1690519200,28-07-2023 07:40:00,205.111,
31.38,12390,CDFB19377155,1690519800,28-07-2023 07:50:00,235.429,
31.56,14181,CDFB19377155,1690520400,28-07-2023 08:00:00,268.7416,
31.69,16021,CDFB19377155,1690521000,28-07-2023 08:10:00,302.9656,
31.94,17845,CDFB19377155,1690521600,28-07-2023 08:20:00,336.892,
32.19,19744,CDFB19377155,1690522200,28-07-2023 08:30:00,372.2134,
32.38,21516,CDFB19377155,1690522800,28-07-2023 08:40:00,405.1726,
32.56,23543,CDFB19377155,1690523400,28-07-2023 08:50:00,442.8748,
32.69,25375,CDFB19377155,1690524000,28-07-2023 09:00:00,476.95,
32.81,27059,CDFB19377155,1690524600,28-07-2023 09:10:00,508.2724,
33,28594,CDFB19377155,1690525200,28-07-2023 09:20:00,536.8234,
33.06,30256,CDFB19377155,1690525800,28-07-2023 09:30:00,567.7366,
33.19,31690,CDFB19377155,1690526400,28-07-2023 09:40:00,594.409,
33.38,33202,CDFB19377155,1690527000,28-07-2023 09:50:00,622.5322,
33.5,34403,CDFB19377155,1690527600,28-07-2023 10:00:00,644.8708,
33.63,35364,CDFB19377155,1690528200,28-07-2023 10:10:00,662.7454,
33.69,36747,CDFB19377155,1690528800,28-07-2023 10:20:00,688.4692,
33.81,37968,CDFB19377155,1690529400,28-07-2023 10:30:00,711.1798,
33.81,38875,CDFB19377155,1690530000,28-07-2023 10:40:00,728.05,
33.88,39632,CDFB19377155,1690530600,28-07-2023 10:50:00,742.1302,
33.81,40721,CDFB19377155,1690531200,28-07-2023 11:00:00,762.3856,
33.81,41744,CDFB19377155,1690531800,28-07-2023 11:10:00,781.4134,
33.81,42694,CDFB19377155,1690532400,28-07-2023 11:20:00,799.0834,
33.88,44468,CDFB19377155,1690533000,28-07-2023 11:30:00,832.0798,
34.06,62979,CDFB19377155,1690533600,28-07-2023 11:40:00,1176.3844,
34.31,63418,CDFB19377155,1690534200,28-07-2023 11:50:00,1184.5498,
34.44,63255,CDFB19377155,1690534800,28-07-2023 12:00:00,1181.518,
34.56,62677,CDFB19377155,1690535400,28-07-2023 12:10:00,1170.7672,
34.63,62608,CDFB19377155,1690536000,28-07-2023 12:20:00,1169.4838,
34.69,62365,CDFB19377155,1690536600,28-07-2023 12:30:00,1164.964,
34.75,62262,CDFB19377155,1690537200,28-07-2023 12:40:00,1163.0482,
34.88,61667,CDFB19377155,1690537800,28-07-2023 12:50:00,1151.9812,
34.94,60949,CDFB19377155,1690538400,28-07-2023 13:00:00,1138.6264,
35,60354,CDFB19377155,1690539000,28-07-2023 13:10:00,1127.5594,
35.06,59237,CDFB19377155,1690539600,28-07-2023 13:20:00,1106.7832,
35.06,58303,CDFB19377155,1690540200,28-07-2023 13:30:00,1089.4108,
35.06,57200,CDFB19377155,1690540800,28-07-2023 13:40:00,1068.895,
35.13,55893,CDFB19377155,1690541400,28-07-2023 13:50:00,1044.5848,
35.13,54416,CDFB19377155,1690542000,28-07-2023 14:00:00,1017.1126,
35.13,52675,CDFB19377155,1690542600,28-07-2023 14:10:00,984.73,
35.19,50941,CDFB19377155,1690543200,28-07-2023 14:20:00,952.4776,
35.19,49005,CDFB19377155,1690543800,28-07-2023 14:30:00,916.468,
35.19,47735,CDFB19377155,1690544400,28-07-2023 14:40:00,892.846,
35.19,45278,CDFB19377155,1690545000,28-07-2023 14:50:00,847.1458,
35.13,43561,CDFB19377155,1690545600,28-07-2023 15:00:00,815.2096,
35.13,42042,CDFB19377155,1690546200,28-07-2023 15:10:00,786.9562,
35.06,39901,CDFB19377155,1690546800,28-07-2023 15:20:00,747.1336,
